Coupon,Rating,Name,Location,Delivery Time,Delivery Fee,Average Price,Food Type
$11.5 off $40 rookie coupon,No Rating,,,61-71min,$4.49,,
$11.5 off $40 rookie coupon,5.0,BCD Tofu House,Midtown,Over 73min,$4.99,$30,Korean
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,Chinese
$11.5 off $40 rookie coupon,No Rating,Yakiniku Futago·Japanese BBQ&Wagyu,New York,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,4.0,Jiang’s Kitchen,East Village,Over 73min,$4.99,$30,Chinese
$11.5 off $40 rookie coupon,No Rating,The Halal Guys,"14th Street, Ny",Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$6.99,,Bubble Tea
Get $15,5.0,U Look Delicious Snacks,Midtown,61-71min,$4.99,,
No Coupon,No Rating,Flor de mayo Food,Midtown,58-68min,$4.49,,
$11.5 off $40 rookie coupon,4.9,Chihiro Tea,Downtown,Over 73min,$4.99,$9,
$11.5 off $40 rookie coupon,4.6,To Eat Sushi,Downtown,Over 73min,$4.99,$22,Japanese
$11.5 off $40 rookie coupon,5.0,SHINY TEA,Uptown,33-43min,$1.99,$6,Bubble Tea
$11.5 off $40 rookie coupon,4.7,Moge Tee, Uptown,25-40min,$1.99,$6,
$11.5 off $40 rookie coupon,4.4,Chow House,downtown,Over 73min,$4.99,$28,
$11.5 off $40 rookie coupon,No Rating,Anjelly,Downtown,Over 73min,$4.99,$16,
$11.5 off $40 rookie coupon,No Rating,Tora Tea NYC,NYU,Over 73min,$4.99,,Bubble Tea
Specials 100% off,No Rating,"De Zhuang Hot Pot, Sautéed Chili Dishes",East village,Over 73min,$4.99,$16,
$11.5 off $40 rookie coupon,No Rating,Soho Sushi,Downtown ,Over 73min,$4.99,$38,Japanese
$11.5 off $40 rookie coupon,5.0,her boba,Midtown,32-42min,$2.99,$15,Bubble Tea
Specials 100% off,No Rating,PH 66,Manhattan,Over 73min,$4.99,$21,
$11.5 off $40 rookie coupon,4.6,MoomooChaa,Downtown,Over 73min,$4.99,,Bubble Tea
$11.5 off $40 rookie coupon,4.5,CheLi Manhattan,Downtown,Over 73min,$4.99,$40,Chinese
Specials 100% off,No Rating,China Flame,East village,Over 73min,$4.99,$26,
$11.5 off $40 rookie coupon,4.1,Tbaar-Time Square,Midtown,56-66min,$2.99,$14,
$11.5 off $40 rookie coupon,No Rating,Dumplings N Dips,East Village,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,5.0,Misoya,Downtown,Over 73min,$4.99,$30,
$11.5 off $40 rookie coupon,4.8,Möge Tee,East Village,Over 73min,$4.99,$8,Bubble Tea
$11.5 off $40 rookie coupon,4.4,Meet Fresh,Downtown,Over 73min,$4.99,$17,
$11.5 off $40 rookie coupon,No Rating,,,25-40min,$1.99,$21,
$11.5 off $40 rookie coupon,4.8,Mi Tea,East Village ,Over 73min,$4.99,$4,Bubble Tea
Specials 20% off,4.6,Joe's Steam Rice Roll,Manhattan Uptown,44-54min,$1.99,$14,
$11.5 off $40 rookie coupon,4.8,Ando patisseie,Downtown,Over 73min,$4.99,$21,
Specials 60% off,4.8,,,37-47min,$1.99,$16,Chinese
